Id,Topic,Human,Normed_variability,Normed_stability,Coherence,PMI,NPMI,DS,CP,CV
0,"window server using display application font manager client set get
",3.2,0.9205801854889027,0.9385443151915199,-251.47335484120816,0.19,0.64,0.16958,0.13104,0.36599
1,"modem port printer serial mouse use software print pc card
",3.6,0.9344499336780423,0.8938357653526001,-275.5818777473223,0.21,0.73,0.30177,0.54678,0.41306
2,"bill vote power state votes system party political majority voted
",3.8,0.854175562229197,0.7929802468562881,-277.3761069338327,0.16,0.63,0.17760,0.10522,0.34565
3,"one people went didnt us came said apartment know home
",1.4,0.7598966180639207,0.768537386799157,-224.2505455544289,0.12,0.36,0.06310,-0.48588,0.51839
4,"years year city old last home ago cities days early
",2.4,0.851434284195212,0.25083426787786234,-253.20567787820886,0.09,0.25,0.20501,-0.41091,0.53116
5,"file files image format images color program display formats use
",3.6,0.9542266602320134,0.907061815068286,-228.20451962386943,0.25,0.78,0.14524,0.01354,0.40408
6,"use may used one need note must using also standard
",2.4,0.5089684295030914,0.860037595132028,-193.93371529835696,0.04,0.11,0.11531,-0.09048,0.39591
7,"said killed people dead son children women town three wife
",2.2,0.8356718364677959,0.5876873261896878,-228.34006018668362,0.16,0.58,0.16414,-0.31207,0.38233
8,"encryption technology new law enforcement privacy government protect use access
",3.4,0.7193960415210923,0.9879347987530577,-228.59930888963052,0.24,0.76,0.26684,0.32128,0.37236
9,"think package going know said jobs something made dont groups
",2.0,0.6676272240625186,0.9042515576470043,-239.40058694732238,0.07,0.17,0.04889,-0.58102,0.50278
10,"henrik questions answer question true armenians want borders answers conflict
",2.8,0.7187130063867949,0.4288023244885798,-322.9603070251409,0.09,0.29,0.17301,-0.12861,0.30532
11,"keyboard typing date pc keys normal exercises info key hand
",2.8,0.7510684084343756,0.8349484844441929,-341.93317329903357,0.12,0.46,0.09875,-0.03392,0.37305
12,"many much one may even also large however less time
",1.6,0.4271959643691999,0.8094814024645804,-177.32292389651644,0.02,0.06,0.16794,0.15559,0.32911
13,"jews jewish human rights greek turkish land state citizens world
",3.2,0.9384599070225093,0.8390113706030721,-274.57982291259674,0.17,0.63,0.17450,-0.36722,0.45140
14,"wire ground wiring neutral outlets circuit cable connected grounding conductor
",4.0,0.8035974549356765,0.9529840720753436,-243.81444637448942,0.42,1.57,0.11748,0.04386,0.45603
15,"science objective pts moral morality values system think theory vs
",2.6,0.8787321522275429,0.9037556206088367,-333.7923166917932,0.1,0.37,0.11197,-0.04246,0.41966
16,"word jewish language name words de ancient french christians became
",2.8,0.8637205242156191,0.5642377564201234,-313.5533631077648,0.07,0.28,0.11351,-0.15279,0.47608
17,"one say means mean word words meaning also must different
",1.8,0.6896512630610091,0.7182296843673712,-209.56317938076666,0.07,0.24,0.15539,0.04482,0.44001
18,"list posting group send post newsgroup posted posts address email
",3.2,0.8777908878480768,0.8884715945372519,-243.7767742552201,0.18,0.6,0.11491,0.11293,0.40467
19,"book books good read published reference found text also first
",3.4,0.8920094256546749,0.8407903340993187,-231.5352406635522,0.09,0.3,0.16926,-0.18528,0.39145
20,"argument evidence conclusion true fallacy example valid false premises proof
",4.0,0.8156103998628268,0.7659906800969983,-289.1391556855657,0.25,0.97,0.19567,0.47759,0.36952
21,"key keys number chip serial bits encrypted block two law
",3.4,0.8291701649514699,0.9761439896540974,-242.0246571019667,0.23,0.76,0.09766,-0.24964,0.44725
22,"bike ride riding bikes motorcycle helmet road turn front left
",4.0,0.9369067691817269,0.8946568050532158,-273.5402850052167,0.22,0.86,0.19999,0.25519,0.47605
23,"one two first also years last three time new made
",1.8,0.4408080918184591,0.8962025228972638,-174.17054189015784,0.05,0.14,0.16259,-0.03493,0.35383
24,"memory bus speed chip board motherboard chips faster pc data
",3.2,0.968733931562082,0.8994015219972373,-300.51944744736664,0.18,0.64,0.15180,0.08428,0.49264
25,"would one point question fact claim say true even evidence
",2.0,0.3392170434833733,0.8496954031941116,-194.38858656316745,0.06,0.19,0.20323,0.30645,0.34362
26,"issue children child belief ac bible true may born doctrine
",2.4,0.6565723150185228,0.705584346446498,-318.3124813964324,0.09,0.34,0.11464,-0.03497,0.41593
27,"tv local radio station show pm coverage news broadcast watch
",3.8,0.8691924353298203,0.5972225969317988,-308.30696258985375,0.15,0.58,0.29264,0.50308,0.42176
28,"back right little side put one get top way long
",2.4,0.6532131130609204,0.19505428698534327,-207.65394102722146,0.05,0.14,0.15349,0.17197,0.32937
29,"space orbit mission launch lunar spacecraft surface missions satellite shuttle
",4.0,0.9616239781827247,0.9252057842791683,-188.54967297975372,0.34,1.29,0.32279,0.58588,0.51334
30,"data image bits bit processing images byte one analysis display
",3.4,0.8757510209113595,0.6223309603826779,-277.53658319923767,0.18,0.65,0.14396,-0.13911,0.48065
31,"fire gas children compound tanks people would fired believe cult
",1.8,0.8845800915455199,0.8505434026496241,-272.9919558176344,0.16,0.59,0.09812,-0.09767,0.35585
32,"truth context absolute certain revelation arrogant true may conclusion experience
",2.4,0.8086856238793121,0.7993101307546238,-275.4706236566879,0.15,0.59,0.14121,0.30220,0.34048
33,"game puck goal play shot period got penalty net power
",2.6,0.775376002438376,0.9295993475646153,-272.44305108038947,0.25,0.86,0.17654,0.26107,0.42037
34,"good module missing excellent min game included insert cover detached
",2.4,0.7332901917870631,0.8106477573877461,-356.58513436943986,0.2,0.79,0.06576,-0.21389,0.44394
35,"effect could better weight lock away would alternative said much
",1.8,0.7904107395481174,0.0,-270.4470301073269,0.04,0.11,0.10592,-0.00986,0.42499
36,"power output current input signal supply voltage circuit use chip
",3.6,0.9273653283492252,0.8463878438109314,-291.134685093197,0.17,0.62,0.29379,0.54888,0.43997
37,"sound radar audio channel detector amp radio stereo detectors antenna
",3.4,0.9085103228464041,0.7328424592589217,-339.0911354894056,0.21,0.84,0.18254,0.42821,0.40583
38,"sale offer shipping condition interested used sell new asking best
",2.6,0.8482644389444426,0.9383655736893955,-259.2316396923908,0.18,0.61,0.12664,-0.29367,0.43315
39,"team game games players hockey play teams vs season player
",3.8,0.9897648107794906,0.9626949933555874,-206.51840787405897,0.3,0.99,0.27308,0.37368,0.53462
40,"object energy pictures photography fields media material patterns bath kirlian
",2.0,0.7798311162460035,0.22962258879227818,-316.6211816517495,0.2,0.85,0.07978,-0.34992,0.48388
41,"faith christians sin believe christian eternal church hell people say
",3.8,0.8806600748344172,0.8165680542361238,-236.64349088280764,0.14,0.5,0.22875,0.49156,0.41332
42,"conference include course training applications technical information program must research
",2.6,0.8496905043175704,0.7338185480777955,-266.9225913401224,0.07,0.26,0.16733,0.27265,0.34502
43,"year last game runs hit team good games season win
",3.6,0.9173892857432363,0.9500685725678557,-226.87564010309643,0.19,0.61,0.20730,0.17198,0.39552
44,"people government work jobs education country many young community job
",3.2,0.8443614045104503,0.8800770234572796,-258.1094487402247,0.13,0.46,0.15016,0.20297,0.33798
45,"widget application set resource widgets string value file event call
",3.4,0.8238511645161278,0.8643268300980823,-277.85717562032227,0.21,0.73,0.16519,0.04418,0.32138
46,"white black lines red mydisplay mask color et al draw
",2.4,0.849350639673138,0.5848911590775849,-331.48475827786103,0.16,0.62,0.12665,-0.16036,0.44078
47,"use drugs drug among reported states tobacco age increased report
",3.2,0.800558757559693,0.8887825463996334,-288.01012234536233,0.18,0.68,0.08284,-0.21140,0.35514
48,"drive disk drives hard controller floppy tape system card disks
",4.0,0.9810265916614147,0.9972455302639839,-237.92546717591708,0.33,1.01,0.22484,0.18328,0.46285
49,"file output program char stream name line read write filename
",3.6,0.7223477314122496,0.958406698476026,-265.9690919079717,0.28,0.92,0.14398,0.20139,0.34759
50,"pain doctor patients medical disease blood day treatment doctors body
",4.0,0.9433864890233697,0.8744026172435615,-271.2141963986994,0.19,0.76,0.17479,0.15086,0.36109
51,"armenian armenians turkish people genocide russian million population villages xsoviet
",3.0,0.8367027848594031,0.9557125766222284,-157.20515579454465,0.32,1.09,0.17583,0.17922,0.46661
52,"prophecy death body said tomb word dead disciples died written
",2.4,0.7820723740238377,0.7328665603520079,-282.61053636819025,0.12,0.49,0.15066,0.05829,0.33438
53,"information available send list also get email mail etc archive
",2.8,0.8240241289646484,0.7749620727500773,-218.30329742110578,0.14,0.44,0.16650,0.22410,0.34375
54,"time much speed first second get problem per every try
",2.0,0.6802856478211295,0.4499392982975248,-225.7606153015309,0.03,0.09,0.12382,0.10937,0.33416
55,"media read news american tv sources mention press newspapers story
",3.6,0.876263303717678,0.5299586281101031,-313.1397369308847,0.11,0.43,0.12752,0.03949,0.30236
56,"people life person us others good society even lives live
",2.8,0.7631265327373818,0.7917049836134736,-212.86232651033305,0.08,0.27,0.10480,-0.11393,0.40170
57,"know one dont read right never article someone anyone something
",1.2,0.35131365843003226,0.6816390702404342,-209.37790547167634,0.04,0.1,0.12305,0.11454,0.35627
58,"team season captain traded draft move contract teams new hockey
",3.2,0.8066119829691484,0.8007064170897749,-295.96006179764805,0.2,0.77,0.18844,0.37300,0.41533
59,"us shall world man men earth things come life love
",2.0,0.8672209655193573,0.7613314218524267,-238.49853996433004,0.1,0.35,0.11241,0.01196,0.31303
60,"system systems software data using design test computer model control
",3.2,0.856858126976815,0.7893040018829178,-254.5889582912899,0.09,0.29,0.17301,0.16557,0.43491
61,"war military secret nuclear weapons planes naval british ships aircraft
",3.8,0.8366430567148837,0.866117799926351,-317.2880572080113,0.26,1.05,0.13996,-0.04549,0.42168
62,"key encryption message public cipher attack scicrypt keys cryptography part
",3.6,0.7835908398357178,0.9330433965661691,-230.57686668375834,0.18,0.65,0.19214,0.15502,0.43453
63,"us going dont say know go want said get tell
",1.6,0.6336731488646954,0.8161283422823425,-182.29835902675825,0.09,0.23,0.16677,0.18494,0.38554
64,"water heat air hot power temperature nuclear cooling cold plants
",3.8,0.9388106190586618,0.7933393984067776,-244.6928720066317,0.32,1.25,0.19256,0.13937,0.36011
65,"would could place time wish idea imagine first needed world
",1.6,0.7734224889080793,0.8622708530590647,-234.95174106036225,0.04,0.11,0.18110,0.06646,0.38203
66,"anonymous internet privacy email users system information service mail network
",2.6,0.8072041377433823,0.9052020443781119,-264.13673523244483,0.18,0.62,0.26822,0.22579,0.46213
67,"available version program also package code source support software includes
",2.6,0.8837213581418288,0.913734932333955,-229.52114240736503,0.16,0.51,0.18305,0.10404,0.44484
68,"actions person upon approach individual taken serious within discussion means
",2.4,0.8266385663204984,0.17214280760883824,-269.66156225704043,0.04,0.14,0.16001,-0.24032,0.39580
69,"like one get would use dont also know work need
",1.6,0.0,0.9206172888588536,-151.07327197039598,0.04,0.1,0.15561,0.11615,0.33774
70,"1st cover appears art vs copies comics appear 2nd issue
",3.2,0.7389327841070527,0.9725252486574784,-294.3727232155412,0.3,1.13,0.08471,-0.21923,0.39872
71,"universe human life existence physical exist exists nature created world
",3.4,0.8738979336714867,0.7738521104962476,-240.4486322390252,0.18,0.66,0.13953,0.14434,0.30867
72,"church authority schism liturgy traditional bishop catholics command priests parish
",3.8,0.7420484868111741,0.7877461422383494,-244.44645406585784,0.26,1.15,0.15529,0.31175,0.41119
73,"would anyone know thanks help please email like looking advance
",1.2,0.44894931734198446,0.9706389891271324,-217.29948255231017,0.12,0.35,0.11365,0.15920,0.31126
74,"study research patients disease diseases scientific evidence clinical health centers
",3.8,0.8458367266356992,0.8371004109228545,-258.31629468211327,0.24,0.94,0.20579,0.15145,0.38536
75,"period pp play shots saves 2nd 1st scoring sh 3rd
",2.4,0.8705114784291282,1.0,-236.092504473637,0.42,1.51,0.13078,-0.30745,0.46422
76,"right people government rights states militia arms shall well keep
",3.0,0.8981761352250804,0.919723580394833,-236.4919189053999,0.15,0.52,0.08765,-0.15636,0.35159
77,"problem running windows problems using file run system fine machine
",2.0,0.7967431295483371,0.9301341830518594,-235.73446973705597,0.14,0.43,0.08081,-0.31388,0.40576
78,"gun guns crime control weapons firearms police criminals weapon rate
",4.0,0.9297561391534813,0.9560510097510299,-223.1923883870919,0.24,0.85,0.16785,-0.04367,0.31481
79,"dog eye left right side dogs blood die neck hours
",2.2,0.8611973823716593,0.5426712933031556,-326.87997515972756,0.1,0.38,0.12617,0.09071,0.30846
80,"war civilians attacks soldiers military peace israeli killed troops lebanese
",4.0,0.9144022495466694,0.7878443404608371,-226.39401436944752,0.26,1.01,0.19550,-0.03671,0.29194
81,"int include program code undefined define function following value error
",3.2,0.7934651712615612,0.804490973058888,-255.11835339831302,0.18,0.66,0.23025,0.25015,0.44555
82,"launch surrender soon intellect chastity shameful gebcadredslpittedu satellite commercial market
",2.0,0.8503150427642616,0.9315353548904779,-332.18028668209803,0.33,0.97,0.10660,-0.30306,0.41333
83,"price buy new get cost good market sell company order
",3.8,0.7629962710312851,0.8553374812145008,-263.7097942590807,0.09,0.33,0.19653,0.25054,0.36998
84,"would think people dont like make one know say even
",1.2,0.17291975610434435,0.9141543036505393,-138.17912236030705,0.06,0.14,0.21668,0.22646,0.35067
85,"religion believe atheists religious belief faith christians atheism beliefs god
",3.6,0.9241932884370209,0.9133914932058175,-214.42420470927956,0.28,0.98,0.24975,0.34835,0.44873
86,"card monitor video drivers mode cards color screen driver monitors
",3.4,1.0,0.9468582101442201,-256.17909490320403,0.25,0.86,0.13656,0.13474,0.31827
87,"space program cost billion would development million year russian support
",2.2,0.8810926850307097,0.8621985778650514,-263.04313826669664,0.1,0.37,0.16258,0.14351,0.34622
88,"men sex sexual homosexual marriage gay homosexuality homosexuals women married
",3.4,0.8944718693730798,0.9055503314120548,-261.46020491663023,0.28,1.08,0.23141,0.35557,0.45586
89,"get like dont think good going one really see know
",1.0,0.1583049206887248,0.912281238215039,-154.64018436118195,0.07,0.16,0.12485,0.07431,0.31900
90,"would said time back didnt got went could years told
",1.0,0.47552598198496115,0.8499657872403302,-199.08048532603289,0.07,0.22,0.07683,-0.47824,0.45663
91,"law court case police trial laws legal crime evidence rights
",4.0,0.9492935638335306,0.8290577494332367,-249.4908470739279,0.15,0.55,0.20372,0.25068,0.46148
92,"law firearms states use firearm de weapons committee van section
",3.4,0.8397669750221834,0.8252116766541658,-334.41961483270535,0.12,0.45,0.09906,-0.15045,0.37828
93,"food eat foods people eating diet suck cubs chinese corn
",2.8,0.8822184367882037,0.8623377239156271,-305.4196077054559,0.19,0.76,0.14354,-0.01431,0.45273
94,"key encryption government chip phone keys secure system crypto escrow
",3.4,0.8885626472923351,0.9284864023838839,-187.44575372761147,0.26,0.86,0.14477,0.25330,0.43916
95,"car cars engine miles oil drive speed tires driving front
",4.0,0.9943734451511884,0.9487809552962942,-280.05481564982193,0.21,0.77,0.16810,0.21375,0.35484
96,"entry entries rules section program must info files build source
",3.2,0.6347649245297425,0.946399270960762,-279.34591886862495,0.19,0.63,0.10649,-0.26106,0.28614
97,"insurance money tax pay health private taxes care public income
",4.0,0.9353840111031877,0.8848151559815604,-260.3219723729973,0.25,0.89,0.27504,0.55749,0.43012
98,"members group groups said organization information member political organizations former
",3.6,0.8994339945986115,0.5662556597318309,-248.40339181080816,0.12,0.45,0.16409,-0.47588,0.52967
99,"3d points line graphics point objects surface plane center polygon
",3.4,0.8848166506127132,0.7580068605652001,-301.7213993708423,0.14,0.54,0.18370,-0.14002,0.36440
100,"war military german army battle forces british soldiers attack fought
",3.6,0.8997266507921224,0.7832577521602885,-263.7806104657042,0.28,0.98,0.19903,0.33377,0.37606
101,"request adminship whose cave successful caves oversightship requests devil checkusership
",1.6,0.7346765584860824,0.5326153484217714,-320.97622613054955,0.28,1.09,0.13104,-0.25539,0.36344
102,"king son family dynasty royal throne queen ruled power title
",4.0,0.8964574035130545,0.7052626767829903,-304.06933793352937,0.23,0.87,0.15523,0.27383,0.37305
103,"market goods price economy company economic economics capital good money
",4.0,0.8969259273777969,0.5519744246462404,-308.65561393188227,0.21,0.77,0.16600,0.13774,0.46320
104,"album song released music single number first songs one studio
",4.0,0.8304671370067138,0.961426586664238,-200.08842060922512,0.24,0.67,0.20745,-0.05928,0.48272
105,"state list arms flag states national group white shield symbol
",3.2,0.7968248909742836,0.8150260851140474,-373.77745229058365,0.11,0.42,0.13030,0.05859,0.39565
106,"data memory unit computer system instruction processor time disk storage
",4.0,0.8628830572451143,0.8013417576425638,-285.03842251850443,0.24,0.84,0.27348,0.51772,0.44102
107,"car cars race driver horse racing road vehicle drivers drive
",3.6,0.928659934289619,0.740309597260882,-275.31861349588024,0.29,1.13,0.30196,0.62166,0.50141
108,"sports ball sport olympics games medal skating events ice competition
",3.6,0.8493445632566422,0.6971201856810569,-309.93484859943703,0.25,0.95,0.20714,-0.35091,0.49942
109,"station railway train stations line trains road system travel transport
",4.0,0.8679982374361803,0.7819124467267692,-298.0078411286639,0.25,0.94,0.20500,0.02209,0.45451
110,"cite field web label title url date author journal name
",2.6,0.9163385638200314,0.9735986705640374,-329.6001641100678,0.28,0.97,0.12800,0.13173,0.33108
111,"study theory science human scientific work natural research studies model
",4.0,0.8219121263012381,0.6586380906500211,-310.3041905716457,0.16,0.57,0.19063,0.19992,0.47312
112,"style px font border align text td weight bold left
",3.8,0.7519281206321933,0.9818046020243929,-276.5394251762474,0.55,1.75,0.16626,-0.00156,0.42035
113,"disease bacteria immune virus infection system cause diseases body caused
",3.8,0.8439777639060506,0.7556901307179335,-257.6648412212686,0.27,0.97,0.25402,0.39485,0.44119
114,"food made eat milk bread eaten meat used fat drink
",3.6,0.9126683878866262,0.8543398278846144,-290.2301863779336,0.21,0.79,0.19694,-0.08989,0.60213
115,"energy nuclear radiation heat power waves wave electromagnetic light radioactive
",4.0,0.9056382041424479,0.8910318290521645,-298.99798986809196,0.25,0.88,0.29041,0.54705,0.49269
116,"states party election government elected political president vote candidate state
",4.0,0.8672091144288189,0.8696869724666723,-249.9417401598336,0.28,0.95,0.39677,0.24071,0.46569
117,"one known many two world well years including since several
",1.4,0.11219751222720416,0.4246789399656839,-221.34048758647947,0.05,0.14,0.11335,-0.14968,0.39945
118,"school students education schools college university high student degree universities
",4.0,0.9310467121754693,0.8898571368624058,-263.28165433527266,0.32,1.15,0.25756,0.10421,0.52790
119,"game games video player released players first play console series
",3.8,0.8396989791990932,0.9671797413807721,-204.69603274813653,0.28,0.84,0.18274,0.04441,0.43625
120,"character series first story fiction fictional book characters stories comic
",3.6,0.8536956290008368,0.7822003728438859,-242.4786076673777,0.28,0.92,0.24082,-0.03507,0.53856
121,"fish sea species water live like marine ocean shell animals
",3.8,0.8617256224226035,0.7851290366212591,-274.565593903732,0.19,0.63,0.21845,0.34428,0.38307
122,"light red color white blue black green colour skin dark
",3.6,1.0,0.8310456646064334,-265.5009272848814,0.31,1.07,0.41667,0.63038,0.43807
123,"people person many may called get things also make like
",1.0,0.2416724814794321,0.9343035408251404,-179.0010294776069,0.08,0.18,0.11518,-0.07483,0.29076
124,"line circle point shape two lines map geometry plane one
",3.6,0.8663266803903308,0.4890383523079039,-339.31488343496875,0.14,0.55,0.14803,0.08702,0.41462
125,"ship ships boat island tributary travel boats sea used sail
",3.8,0.8831605506419645,0.5934584667464,-339.9864209163949,0.17,0.68,0.17770,-0.11712,0.48523
126,"art painting artists artist work painted style paint paintings australian
",3.6,0.8798289705185964,0.7925024025657966,-265.52920980244403,0.27,1.01,0.18893,0.09375,0.41247
127,"used word term often name called also may means example
",1.2,0.4417199787847271,0.7930678204222359,-201.94305189156887,0.08,0.19,0.21835,-0.10940,0.41471
128,"star stars planet galaxy orbit space solar galaxies moon system
",3.4,0.8315517311828903,0.8614925186247896,-274.89866243627614,0.26,0.97,0.23095,0.24405,0.48688
129,"system set space elements used one sets example systems called
",1.8,0.8205640350411301,0.0,-288.3507104866119,0.06,0.19,0.12522,-0.21418,0.41194
130,"team play football played players season player teams game games
",4.0,0.8770400801132473,0.941063091323792,-197.82003507345414,0.32,0.99,0.25451,0.17879,0.52631
131,"element elements electron atom electrons chemical mass atoms atomic metal
",3.8,0.8235012942976003,0.8222423677081712,-225.79589631161716,0.36,1.25,0.21364,0.44958,0.46041
132,"blood body system heart brain cells called muscle oxygen cell
",3.6,0.8694113667414282,0.8173605511641993,-281.9484035560542,0.2,0.7,0.21825,0.41598,0.39923
133,"ifexpr bar season button lat lon period min autoconfirmed dir
",1.8,0.8430534948494557,1.0,-303.15119901035615,0.16,0.57,0.19179,-0.33874,0.38414
134,"show television series season episode tv shows states first episodes
",3.6,0.8595938347020893,0.9019638721532068,-245.54046177674076,0.23,0.75,0.26002,0.14410,0.47458
135,"dance opera music play ballet theatre performance performed audience dances
",4.0,0.8602821417731611,0.6375813391284735,-300.75384600119645,0.26,1.01,0.22331,0.37812,0.40502
136,"logic engineering box design rules rule logical default engineers structural
",3.8,0.8056115284715122,0.08391617870894844,-432.35724098013367,0.13,0.53,0.11339,-0.11030,0.37888
137,"north south area mountain west east sea region northern mountains
",2.8,0.851380732675101,0.5264805133080869,-260.1172573783545,0.29,0.97,0.26421,0.43503,0.40566
138,"law states laws legal rights government court state wikt right
",3.4,0.8465878975126283,0.8186320112376614,-275.17986625182346,0.17,0.56,0.14246,-0.21103,0.47102
139,"church temple churches cathedral village religious statue one famous monastery
",3.8,0.8396664272750506,0.35232805466465283,-360.86733813510136,0.14,0.59,0.20349,0.48951,0.41044
140,"water river lake stream rivers land beach flows sea salt
",4.0,0.905284464103994,0.797227930498696,-298.39074346456056,0.26,0.95,0.22292,0.40231,0.39164
141,"water air liquid ice gas temperature pressure surface fluid ground
",3.4,0.9252897565396478,0.7806993317549189,-311.52662898019025,0.2,0.73,0.28972,0.56613,0.44338
142,"poly current electric electrical magnetic electricity power field circuit voltage
",4.0,0.8975479820429627,0.8653499043252615,-300.6068756448482,0.25,0.9,0.36044,0.45404,0.46237
143,"states american americans african people native tribe white medal presented
",3.0,0.8139665661019161,0.8571709395485599,-351.3435297054934,0.14,0.47,0.33463,0.18775,0.45802
144,"wikt time decision en target position order action ed taken
",1.2,0.8103227070988585,0.826720058270876,-405.4538300867225,0.05,0.19,0.16196,-0.33693,0.47177
145,"fire engine oil used fuel gas steam power heat engines
",3.6,0.896200914374698,0.6953314231323354,-298.1142262918008,0.24,0.88,0.24100,0.22069,0.46627
146,"made used wood wear material clothing metal clothes make worn
",3.0,0.8592794903369468,0.6844236097241034,-323.8207653695699,0.15,0.53,0.22835,-0.12231,0.45514
147,"chemical reaction carbon oxygen chemistry acid water molecule used compound
",4.0,0.9029867171540192,0.8488892025988772,-247.72841965221303,0.26,0.92,0.34608,0.47345,0.60684
148,"people things think person say true like idea something said
",1.8,0.7097864955072639,0.6400278928022582,-261.0640419175168,0.12,0.38,0.14004,0.01291,0.37418
149,"species birds family live bird small like found eggs eat
",3.6,0.8354300253991725,0.8563992373130692,-237.4254206145956,0.18,0.59,0.14443,-0.00240,0.44620
